ra,fase,turma,nome,ano_nasc,idade_22,genero,ano_ingresso,instituicao_de_ensino,pedra_20,pedra_21,pedra_22,pedra_21_raw,pedra_22_raw,pedra_21_num,pedra_22_num,evolucao_pedra,inde_22,inde_22_num,inde_num,cg,cf,ct,no_av,iaa,ieg,ips,ida,matem,portug,ingles,ipv,ian,ipp,ipp_num,cg_num,iaa_num,ieg_num,ips_num,ida_num,matem_num,portug_num,ingles_num,ipv_num,ian_num,dim_academica,dim_psicossocial,dim_psicopedagogica,sent_score,sent_len,inde_calc,defas,em_risco,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,rec_psicologia,indicado,atingiu_pv,fase_ideal,destaque_ieg,destaque_ida,destaque_ipv
RA-1,7,A,Aluno-1,2003,19,Menina,2016,Escola Pública,Ametista,Ametista,Quartzo,Ametista,Quartzo,3.0,1,-2.0,5.783,5.783,5.783,753.0,18,10,4,8.3,4.1,5.6,4.0,2.7,3.5,6.0,7.278,5.0,6.907914998460116,6.907914998460116,753.0,8.3,4.1,5.6,4.0,2.7,3.5,6.0,7.278,5.0,4.333333333333333,5.539999999999999,7.0929574992300575,-1,258,5.488591499846012,-1,1,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,Requer avaliação,Sim,Não,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-2,7,A,Aluno-2,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,Ametista,Ametista,Ametista,3.0,3,0.0,7.055,7.055,7.055,469.0,8,3,4,8.8,5.2,6.3,6.8,6.3,4.5,9.7,6.778,10.0,9.228518632583924,9.228518632583924,469.0,8.8,5.2,6.3,6.8,6.3,4.5,9.7,6.778,10.0,7.866666666666666,6.36,8.003259316291961,2,256,7.140651863258393,0,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,Não,Não,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-3,7,A,Aluno-3,2005,17,Menina,2016,Rede Decisão,Ametista,Ametista,Ágata,Ametista,Ágata,3.0,2,-1.0,6.591,6.591,6.591,629.0,13,6,4,0.0,7.9,5.6,5.6,5.8,4.0,6.9,7.556,10.0,8.215275639051432,8.215275639051432,629.0,0.0,7.9,5.6,5.6,5.8,4.0,6.9,7.556,10.0,7.0666666666666655,5.4,7.885637819525717,7,264,6.397127563905144,0,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,Não,Não,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-4,7,A,Aluno-4,2005,17,Menino,2017,Rede Decisão,Ametista,Ametista,Quartzo,Ametista,Quartzo,3.0,1,-2.0,5.951,5.951,5.951,731.0,15,7,4,8.8,4.5,5.6,5.0,2.8,3.5,8.7,5.278,10.0,7.8688019710502,7.8688019710502,731.0,8.8,4.5,5.6,5.0,2.8,3.5,8.7,5.278,10.0,6.666666666666666,5.800000000000001,6.573400985525099,-3,254,6.214680197105021,0,1,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,Não,Não,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-5,7,A,Aluno-5,2005,17,Menina,2016,Rede Decisão,Ametista,Ametista,Ametista,Ametista,Ametista,3.0,3,0.0,7.427,7.427,7.427,344.0,6,2,4,7.9,8.6,5.6,5.2,7.0,2.9,5.7,7.389,10.0,9.574992300585155,9.574992300585155,344.0,7.9,8.6,5.6,5.2,7.0,2.9,5.7,7.389,10.0,6.799999999999999,7.26,8.481996150292579,5,262,7.366399230058516,0,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Requer avaliação,Não,Não,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-6,7,A,Aluno-6,2004,18,Menina,2021,Escola Pública,,Ágata,Quartzo,Ágata,Quartzo,2.0,1,-1.0,5.848,5.848,5.848,745.0,16,8,4,7.9,4.5,7.5,3.3,2.3,5.3,2.3,7.222,5.0,7.548506313520172,7.548506313520172,745.0,7.9,4.5,7.5,3.3,2.3,5.3,2.3,7.222,5.0,3.8666666666666667,6.38,7.385253156760086,1,260,5.827050631352017,-1,1,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,Sim,Não,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-7,7,A,Aluno-7,2004,18,Menino,2017,Rede Decisão,Ametista,Ametista,Ágata,Ametista,Ágata,3.0,2,-1.0,6.818,6.818,6.818,550.0,11,5,4,0.0,8.4,7.5,7.6,8.2,5.7,9.0,7.667,5.0,8.561749307052665,8.561749307052665,550.0,0.0,8.4,7.5,7.6,8.2,5.7,9.0,7.667,5.0,6.7333333333333325,6.36,8.114374653526331,8,257,6.822874930705267,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,Não,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-8,7,A,Aluno-8,2002,20,Menina,2018,Escola Pública,Quartzo,Ágata,Quartzo,Ágata,Quartzo,2.0,1,-1.0,4.786,4.786,4.786,836.0,21,13,4,7.1,4.6,6.3,1.6,1.2,0.7,2.9,6.278,5.0,5.947028025870033,5.947028025870033,836.0,7.1,4.6,6.3,1.6,1.2,0.7,2.9,6.278,5.0,2.733333333333333,5.779999999999999,6.112514012935016,-4,258,4.932502802587003,-1,1,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,Não,Não,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-9,7,A,Aluno-9,2004,18,Menina,2019,Escola Pública,Ametista,Ametista,Topázio,Ametista,Topázio,3.0,4,1.0,8.109,8.109,8.109,113.0,1,1,4,8.8,9.5,7.5,6.7,5.5,6.0,8.7,9.5,5.0,10.0,10.0,113.0,8.8,9.5,7.5,6.7,5.5,6.0,8.7,9.5,5.0,6.133333333333333,8.56,9.75,4,258,8.07,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase + Bolsa,Sem limitações,Sim,Sim,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-10,7,A,Aluno-10,2004,18,Menina,2021,Escola Pública,,Ágata,Quartzo,Ágata,Quartzo,2.0,1,-1.0,5.784,5.784,5.784,752.0,17,9,4,8.3,5.2,5.0,4.1,3.3,2.6,6.4,7.056,5.0,7.228210655990145,7.228210655990145,752.0,8.3,5.2,5.0,4.1,3.3,2.6,6.4,7.056,5.0,4.399999999999999,5.74,7.142105327995072,-3,254,5.618421065599014,-1,1,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,Não,Não,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
